Serial connection established.
UniqueID: 34 2E 31 20 FF 15 12 38 
Board matched at index 16
Accelerometer is online.
Corresponding MAC address is 2C F7 F1 8 38 1E 
Corresponding IP address is 192.168.1.117
Local network setup complete.
Arduino OTA module has been initialised.
Initial configuration is now complete.
rawAcclX: 0.22 rawAcclY: 1.29
rawAcclX: 0.17 rawAcclY: 1.23
rawAcclX: 0.15 rawAcclY: 1.25
rawAcclX: 0.22 rawAcclY: 1.24
rawAcclX: 0.22 rawAcclY: 1.19
rawAcclX: 0.19 rawAcclY: 1.19
rawAcclX: 0.17 rawAcclY: 1.24
rawAcclX: 0.17 rawAcclY: 1.20
rawAcclX: 0.20 rawAcclY: 1.20
rawAcclX: 0.20 rawAcclY: 1.23
rawAcclX: 0.19 rawAcclY: 1.21
rawAcclX: 0.17 rawAcclY: 1.27
rawAcclX: 0.22 rawAcclY: 1.22
rawAcclX: 0.17 rawAcclY: 1.21
rawAcclX: 0.17 rawAcclY: 1.23
rawAcclX: 0.21 rawAcclY: 1.21
rawAcclX: 0.11 rawAcclY: 1.24
rawAcclX: 0.22 rawAcclY: 1.29
rawAcclX: 0.17 rawAcclY: 1.24
rawAcclX: 0.21 rawAcclY: 1.25
rawAcclX: 0.19 rawAcclY: 1.25
rawAcclX: 0.16 rawAcclY: 1.24
rawAcclX: 0.21 rawAcclY: 1.17
rawAcclX: 0.21 rawAcclY: 1.23
rawAcclX: 0.17 rawAcclY: 1.23
rawAcclX: 0.20 rawAcclY: 1.28
rawAcclX: 0.20 rawAcclY: 1.25
rawAcclX: 0.19 rawAcclY: 1.25
rawAcclX: 0.14 rawAcclY: 1.24
rawAcclX: 0.12 rawAcclY: 1.20
rawAcclX: 0.20 rawAcclY: 1.23
rawAcclX: 0.19 rawAcclY: 1.30
rawAcclX: 0.17 rawAcclY: 1.28
rawAcclX: 0.18 rawAcclY: 1.21
rawAcclX: 0.14 rawAcclY: 1.26
rawAcclX: 0.15 rawAcclY: 1.22
rawAcclX: 0.20 rawAcclY: 1.26
rawAcclX: 0.16 rawAcclY: 1.26
rawAcclX: 0.10 rawAcclY: 1.27
rawAcclX: 0.16 rawAcclY: 1.24
rawAcclX: 0.15 rawAcclY: 1.25
